source,target,value
CT8,CT296,38680
CT269,CT44,8983
CT269,CT282,13862
CT269,CT13,14221
CT123,CT271,12148
CT32,CT160,6992
CT32,CT181,19440
CT296,CT94,34602
CT302,CT17,30934
CT70,CT140,10199
CT70,CT200,16552
CT70,CT219,21536
CT55,CT212,29293
CT246,CT181,9648
CT246,CT279,15260
CT280,CT308,14341
CT280,CT122,34173
CT280,CT14,24044
CT280,CT253,26106
CT273,CT40,10849
CT273,CT253,15640
CT273,CT170,17180
CT273,CT16,21390
CT233,CT84,5371
CT233,CT228,16159
CT233,CT117,11313
CT91,CT90,13389
CT91,CT270,15022
CT91,CT178,18362
CT199,CT187,19324
CT62,CT86,15950
CT62,CT300,18902
CT178,CT270,15100
CT178,CT69,23622
CT178,CT90,24588
CT321,CT238,8275
CT22,CT94,31971
CT22,CT248,7403
CT22,CT73,17263
CT228,CT300,14787
CT228,CT30,11236
CT163,CT23,42832
CT163,CT54,54166
CT311,CT4,18360
CT311,CT170,19561
CT148,CT1,21931
CT73,CT48,13999
CT73,CT248,13379
CT73,CT94,35208
CT255,CT41,27513
CT134,CT77,27168
CT134,CT212,31359
CT215,CT189,19403
CT215,CT57,24195
CT54,CT18,33456
CT18,CT201,28557
CT69,CT160,13987
CT201,CT23,23444
CT125,CT289,10141
CT125,CT185,14680
CT125,CT104,20069
CT48,CT13,13760
CT11,CT179,6357
CT11,CT141,19253
CT259,CT93,4324
CT259,CT19,6823
CT78,CT41,16596
CT78,CT210,16923
CT78,CT155,18225
CT109,CT141,5973
CT2,CT20,9881
CT137,CT39,9485
CT85,CT4,26285
CT19,CT93,3808
CT19,CT141,7978
CT226,CT241,5835
CT226,CT159,8880
CT44,CT13,10197
CT235,CT224,21582
CT235,CT234,28260
CT235,CT182,34978
CT142,CT90,12134
CT142,CT218,8198
CT142,CT181,18407
CT77,CT188,40481
CT41,CT292,17523
CT236,CT49,11284
CT236,CT164,10276
CT270,CT219,16450
CT182,CT224,31202
CT117,CT30,1744
CT189,CT57,11349
CT189,CT64,15182
CT155,CT49,11041
CT155,CT210,12560
CT104,CT196,13910
CT104,CT202,14552
CT104,CT185,6916
CT317,CT67,48100
CT317,CT5,6932
CT317,CT234,16754
CT317,CT99,30520
CT200,CT140,24230
CT202,CT196,14120
CT202,CT185,15139
CT282,CT57,24874
CT282,CT13,24957
CT57,CT64,5942
CT76,CT33,22907
CT76,CT208,12029
CT76,CT120,13256
CT90,CT218,16901
CT160,CT181,20660
CT99,CT67,19162
CT99,CT5,31774
CT253,CT308,25574
CT253,CT16,18918
CT241,CT101,4106
CT241,CT159,9829
CT122,CT308,31026
CT318,CT167,24538
CT318,CT149,40256
CT318,CT14,49404
CT168,CT149,22429
CT168,CT14,25918
CT196,CT292,7241
CT219,CT33,18428
CT219,CT140,27102
CT181,CT279,20673
CT120,CT33,15102
CT120,CT208,11975
CT1,CT222,31870
CT40,CT170,17723
CT4,CT170,21310
CT5,CT234,15566
CT14,CT149,22576
CT101,CT15,3852
CT103,CT46,15954
CT164,CT313,21126
CT127,CT218,15014
